Top,Time,ProcessId,Name,Cpu(%),Memory(KB),HandleCount
1,2014-4-1 9:15:38,5884,chrome,2.734375,78160,940
2,2014-4-1 9:15:38,6364,chrome,1.171875,110976,128
3,2014-4-1 9:15:38,1116,vntldr,0.390625,956,38
4,2014-4-1 9:15:38,368,TBNotifier,0.390625,10596,385
5,2014-4-1 9:15:38,1168,AlipaySecSvc,0.390625,9516,350
1,2014-4-1 9:15:40,5884,chrome,4.6875,78600,923
2,2014-4-1 9:15:40,1384,avguard,0.390625,176556,207
3,2014-4-1 9:15:40,6364,chrome,0.390625,110988,128
4,2014-4-1 9:15:40,4,System,0.390625,52,1245
5,2014-4-1 9:15:40,8184,CpuTop5,0.390625,14188,93
1,2014-4-1 9:15:42,5884,chrome,7.03125,78548,898
2,2014-4-1 9:15:42,6364,chrome,5.078125,111072,128
3,2014-4-1 9:15:42,1384,avguard,0.390625,176556,207
4,2014-4-1 9:15:42,808,lsass,0.390625,7936,420
5,2014-4-1 9:15:42,1184,svchost,0.390625,24812,1685
1,2014-4-1 9:15:44,5884,chrome,8.203125,80684,924
2,2014-4-1 9:15:44,6364,chrome,3.90625,116920,128
3,2014-4-1 9:15:44,1384,avguard,3.515625,176556,207
4,2014-4-1 9:15:44,724,csrss,1.953125,2324,870
5,2014-4-1 9:15:44,4,System,1.171875,52,1243
1,2014-4-1 9:15:46,6364,chrome,8.59375,118992,132
2,2014-4-1 9:15:46,5884,chrome,7.8125,83920,989
3,2014-4-1 9:15:46,1384,avguard,5.46875,176532,210
4,2014-4-1 9:15:46,4,System,0.390625,52,1241
5,2014-4-1 9:15:46,4468,chrome,0.390625,79048,120
1,2014-4-1 9:15:48,6364,chrome,22.65625,122816,132
2,2014-4-1 9:15:48,5884,chrome,19.921875,85040,1000
3,2014-4-1 9:15:48,1384,avguard,8.59375,176544,209
4,2014-4-1 9:15:48,4,System,0.78125,52,1245
5,2014-4-1 9:15:48,724,csrss,0.390625,2324,885
1,2014-4-1 9:15:50,5884,chrome,7.03125,85080,990
2,2014-4-1 9:15:50,1384,avguard,4.296875,176572,210
3,2014-4-1 9:15:50,6364,chrome,1.171875,131224,133
4,2014-4-1 9:15:50,4,System,0.78125,52,1241
5,2014-4-1 9:15:50,4696,chrome,0.390625,77792,120
1,2014-4-1 9:15:52,5884,chrome,5.078125,85720,983
2,2014-4-1 9:15:52,6364,chrome,3.125,131224,133
3,2014-4-1 9:15:52,2364,jqs,1.5625,7940,207
4,2014-4-1 9:15:52,4,System,0.390625,52,1238
5,2014-4-1 9:15:52,2104,wuauclt,0,2660,117
1,2014-4-1 9:15:54,5884,chrome,4.296875,85748,987
2,2014-4-1 9:15:54,6364,chrome,3.90625,139428,133
